Date,SPY,QQQ,IWM,XLK,XLF,XLE,XLV,XLY
2020-01-02,300.2915344238281,209.32589721679688,155.0865478515625,89.09463500976562,28.069833755493164,48.211849212646484,93.95230102539062,121.26128387451172
2020-01-03,298.0177001953125,207.40846252441406,154.47850036621094,88.0929183959961,27.77179527282715,48.0685920715332,93.13357543945312,120.22936248779297
2020-01-06,299.1546630859375,208.74485778808594,154.684326171875,88.30278015136719,27.75372886657715,48.44263458251953,93.71312713623047,120.56378173828125
2020-01-07,298.3135070800781,208.7157745361328,154.16976928710938,88.26465606689453,27.573104858398438,48.315303802490234,93.52914428710938,120.37268829345703
2020-01-08,299.90338134765625,210.28457641601562,154.64688110351562,89.2091064453125,27.75372886657715,47.519466400146484,94.13629150390625,120.73577880859375
2020-01-09,301.9369201660156,212.0664520263672,154.8339385986328,90.22035217285156,27.925329208374023,47.869632720947266,94.54108428955078,121.3759536743164
2020-01-10,301.0680236816406,211.52413940429688,154.2539520263672,90.01049041748047,27.717609405517578,47.59904861450195,94.56867218017578,120.7166519165039
2020-01-13,303.1385498046875,213.9644317626953,155.2549285888672,91.13619995117188,27.90726661682129,47.614959716796875,94.23750305175781,121.09886169433594
2020-01-14,302.67633056640625,213.1219482421875,155.82559204101562,90.70690155029297,27.853078842163086,47.622920989990234,94.8078384399414,121.0606460571289
2020-01-15,303.3604431152344,213.20909118652344,156.57398986816406,90.81184387207031,27.699541091918945,47.27275466918945,95.6265869140625,120.7835464477539
2020-01-16,305.8838195800781,215.25241088867188,158.5946502685547,92.03297424316406,27.943391799926758,47.35234069824219,96.12334442138672,121.8632583618164
2020-01-17,306.8359680175781,216.317626953125,158.164306640625,92.65306854248047,28.024677276611328,47.0499267578125,96.12334442138672,122.293212890625
2020-01-21,306.235107421875,216.22080993652344,156.8546142578125,92.61490631103516,27.78985595703125,46.20634078979492,96.22455596923828,121.92059326171875
2020-01-22,306.2720642089844,216.79212951660156,156.7517547607422,92.94879913330078,27.871143341064453,45.76066589355469,96.3441390991211,121.8632583618164
2020-01-23,306.62335205078125,217.48931884765625,156.64881896972656,93.38764953613281,27.79888916015625,45.585575103759766,95.85657501220703,122.0447998046875
2020-01-24,303.89654541015625,215.65911865234375,154.7217254638672,92.94879913330078,27.446659088134766,45.06032180786133,94.25588989257812,120.34400939941406
2020-01-27,299.0252380371094,211.20455932617188,152.9629364013672,90.73552703857422,27.02218246459961,43.810855865478516,93.53833770751953,118.54769134521484
2020-01-28,302.1588134765625,214.44863891601562,154.23524475097656,92.4718246459961,27.338289260864258,44.00981903076172,93.99830627441406,119.70384979248047
2020-01-29,301.9092102050781,214.79725646972656,153.35589599609375,92.7103042602539,27.293121337890625,43.54823684692383,93.74073028564453,119.636962890625
2020-01-30,302.8889465332031,215.562255859375,153.35589599609375,93.51168060302734,27.636323928833008,43.89840316772461,93.05998229980469,119.43630981445312
2020-01-31,297.3891906738281,212.14389038085938,150.1752166748047,90.9454116821289,27.058307647705078,42.529563903808594,91.20172882080078,119.74207305908203
2020-02-03,299.5982666015625,215.3492431640625,151.84976196289062,92.14744567871094,27.247966766357422,41.972476959228516,92.02965545654297,120.59245300292969
2020-02-04,304.1645202636719,220.2783203125,154.1417236328125,94.56108856201172,27.50988006591797,42.12369155883789,93.64875030517578,122.79005432128906
2020-02-05,307.6770935058594,221.00460815429688,156.51785278320312,95.11441802978516,28.060802459716797,43.70741271972656,95.45181274414062,123.41117095947266
2020-02-06,308.71234130859375,222.91233825683594,156.162353515625,95.98255920410156,28.024677276611328,43.26173782348633,95.53457641601562,123.13406372070312
2020-02-07,307.0670166015625,221.95364379882812,154.24462890625,95.10487365722656,27.925329208374023,42.95931625366211,94.78944396972656,122.59898376464844
2020-02-10,309.359375,224.6360626220703,155.1146240234375,96.39278411865234,28.006610870361328,42.74443817138672,95.29541778564453,123.98441314697266
2020-02-11,309.8955078125,224.67474365234375,156.19046020507812,96.06839752197266,28.105960845947266,43.22194290161133,95.86578369140625,124.95902252197266
2020-02-12,311.89208984375,226.8633575439453,157.26625061035156,97.1082763671875,28.124019622802734,43.80290603637695,95.98535919189453,126.23943328857422
2020-02-13,311.55938720703125,226.5728302001953,157.67788696289062,96.85069274902344,28.114988327026367,43.66762161254883,95.53457641601562,126.01961517333984
2020-02-14,312.05841064453125,227.2216339111328,157.06979370117188,97.27046966552734,28.151121139526367,43.436832427978516,95.60819244384766,125.82852172851562
2020-02-18,311.25433349609375,227.3087615966797,156.73300170898438,96.90794372558594,27.90726661682129,43.078697204589844,95.2678451538086,125.81896209716797
2020-02-19,312.74249267578125,229.48765563964844,157.53753662109375,98.06229400634766,28.114988327026367,43.65169906616211,95.70939636230469,126.38274383544922
2020-02-20,311.45758056640625,227.35723876953125,157.921142578125,97.04150390625,28.060802459716797,43.60395050048828,95.09303283691406,126.43052673339844
2020-02-21,308.2502136230469,222.98976135253906,156.3214111328125,94.86637115478516,27.78985595703125,43.08665084838867,95.14823150634766,124.50041198730469
2020-02-24,298.0269470214844,214.3905792236328,151.61587524414062,90.9454116821289,26.886707305908203,41.09705352783203,92.14923858642578,120.21981048583984
2020-02-25,288.99609375,208.5608367919922,146.2274169921875,88.03569030761719,25.974533081054688,39.28254699707031,89.35266876220703,117.00933837890625
2020-02-26,287.93310546875,209.6357879638672,144.53411865234375,88.43636322021484,25.78487205505371,38.09674072265625,89.34346771240234,116.08255004882812
2020-02-27,275.00146484375,199.1385040283203,139.4450225830078,83.66633605957031,24.683029174804688,36.05940246582031,86.3077163696289,111.39108276367188
